"filename", "language", "Properties", "Java", "XML", "JSON", "comment", "blank", "total"
"d:\Study\Work\MyMagicTower\Code\magicTower\pom.xml", "XML", 0, 0, 73, 0, 8, 9, 90
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\ApplicationMain.java", "Java", 0, 60, 0, 0, 14, 17, 91
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\asciiPanel\AsciiCharacterData.java", "Java", 0, 7, 0, 0, 0, 2, 9
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\asciiPanel\AsciiFont.java", "Java", 0, 30, 0, 0, 8, 9, 47
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\asciiPanel\AsciiPanel.java", "Java", 0, 468, 0, 0, 348, 165, 981
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\asciiPanel\TileTransformer.java", "Java", 0, 4, 0, 0, 0, 1, 5
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\net\ByteUtil.java", "Java", 0, 46, 0, 0, 0, 9, 55
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\net\MyClient.java", "Java", 0, 94, 0, 0, 12, 17, 123
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\net\MyServer.java", "Java", 0, 158, 0, 0, 10, 19, 187
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\screen\AbstractScreen.java", "Java", 0, 17, 0, 0, 0, 12, 29
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\screen\ClientScreen.java", "Java", 0, 72, 0, 0, 2, 11, 85
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\screen\DeadScreen.java", "Java", 0, 20, 0, 0, 0, 6, 26
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\screen\HostScreen.java", "Java", 0, 77, 0, 0, 5, 12, 94
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\screen\LoadScreen.java", "Java", 0, 101, 0, 0, 2, 11, 114
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\screen\OptionScreen.java", "Java", 0, 66, 0, 0, 0, 10, 76
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\screen\PlayScreen.java", "Java", 0, 181, 0, 0, 8, 25, 214
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\screen\SaveScreen.java", "Java", 0, 103, 0, 0, 2, 10, 115
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\screen\Screen.java", "Java", 0, 11, 0, 0, 4, 10, 25
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\screen\StartScreen.java", "Java", 0, 66, 0, 0, 0, 12, 78
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\Archive.java", "Java", 0, 57, 0, 0, 0, 17, 74
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\Floor.java", "Java", 0, 193, 0, 0, 1, 34, 228
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\FloorBuilder.java", "Java", 0, 38, 0, 0, 1, 7, 46
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\FloorData.java", "Java", 0, 31, 0, 0, 0, 14, 45
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\SnapShot.java", "Java", 0, 59, 0, 0, 4, 13, 76
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\World.java", "Java", 0, 100, 0, 0, 1, 26, 127
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\WorldBuilder.java", "Java", 0, 13, 0, 0, 0, 5, 18
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\creature\Creature.java", "Java", 0, 177, 0, 0, 7, 46, 230
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\creature\CreatureAI.java", "Java", 0, 44, 0, 0, 0, 14, 58
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\creature\CreatureFactory.java", "Java", 0, 44, 0, 0, 4, 12, 60
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\creature\CreatureThread.java", "Java", 0, 31, 0, 0, 0, 6, 37
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\creature\DetectorAI.java", "Java", 0, 39, 0, 0, 0, 7, 46
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\creature\GuardAI.java", "Java", 0, 39, 0, 0, 0, 7, 46
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\creature\MonsterAI.java", "Java", 0, 87, 0, 0, 1, 9, 97
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\creature\PlayerAI.java", "Java", 0, 69, 0, 0, 5, 15, 89
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\item\Item.java", "Java", 0, 48, 0, 0, 0, 11, 59
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\item\ItemFactory.java", "Java", 0, 25, 0, 0, 0, 10, 35
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\item\ItemKind.java", "Java", 0, 9, 0, 0, 0, 2, 11
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\tile\Tile.java", "Java", 0, 67, 0, 0, 32, 34, 133
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\tile\TileFactory.java", "Java", 0, 37, 0, 0, 0, 11, 48
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\java\com\world\tile\TileKind.java", "Java", 0, 10, 0, 0, 0, 2, 12
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\resources\maps\floor1.json", "JSON", 0, 0, 0, 17, 0, 0, 17
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\resources\maps\floor2.json", "JSON", 0, 0, 0, 17, 0, 0, 17
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\resources\maps\floor3.json", "JSON", 0, 0, 0, 17, 0, 0, 17
"d:\Study\Work\MyMagicTower\Code\magicTower\src\main\resources\maps\floor4.json", "JSON", 0, 0, 0, 17, 0, 0, 17
